label,detokenize
1,cewek tolol sedih bego
1,goblok tolol idiot
1,maling goblok nama akun memelord curi meme malu tol tolol
1,tolol inimah tau empat ngebut
0,tolol tolol madrid bantai ipul anfield ngehek madrid ucl
0,orang syiah bego bin tolol ali as menantu nabi muhammad fatimah anak kafir sahabat nabi abu bakar umar ustman
1,ya usaha tolol kirim titip menfess undang war kena goblok
1,domestik tolol eh blok madrid koleksi gelar liga trbanyak sok toxic nyedd
1,wajar majlis partai demokrat deklarasi anies pandai cerdas deklarasi orang tolol kayak eloh
0,tolol sih fir nih cantik spesifikasi bidadari
0,tolol pelihara kunyuk
0,tolol tolol nih
1,buka twitter temu orang tolol kayak ya pindah dasar idiot
1,fan madrid main tolol bela madrid main tolol kecuali demit wkakwkwo ancelotti dongok
1,apa sih tolol gue kasus itu mah gue baca gue kemarin kota makassar penganyiayaan
1,alah sih tolol
1,manusia manusia tolol sepak bola indonesia maju laku fan model kayak ah norakk banget niat jahat
0,sih tolol eh by the way mas mbak sih wkwk
0,cebong bego tolol t cowok gaomgpkzb
0,tolol manipulatif muka wkwk
1,tau statistik nya courtois bro bro tolol napaa ikut epl martines kalah anjing degea ederson tolol owkwowkwokwowk dongok
1,adil negeri jakpus tolol
0,valverde tolol sih muda stamina bagus biar musuh jogging xontol t cowok oyiboijf
0,orang tolol bikin opini
0,sembah wan tolol
1,tolol deh anan
0,kasihan gede masii tolol
1,tolol banget
0,orang tolol lanjut program busuk stres ya bacapresnya mampu sian framing tunjuk prestasi bacapresnya
1,taktik goblok alas blaming orang muhasabah tolol
1,janji sih risma tolol gusdurian bohong ya literasi rendah mending simpatisan partai demokrasi indonesia tidak usah sok gusdurian literasi
0,haha asli tolol banget ya lihat gue cules kayak
1,tolol sok benar orang
1,ya tim egol tolol
1,tak tau tolol
0,terima bukti
0,alas utama picu
1,ih tolol
1,formula e program anies schedule rutin penyelengara surat pemberitahuan tahun balap motor mandalika program jokowi formula amp mandalika jabat ketiban tanggung paham dukung anies bodoh amp tolol ya
1,kenal orang tolol bilang mas joko tipu jilat pantat orang tolol bodoh goblok kayak masuk sekua t cowok hkjlaarx
1,oh jabat surabaya kritik keras dimatiin orang surabaya orang surabaya mati simpatisan risma doang substansi sujud tolol janji profesional orang
1,nafsu banget crossing lucu nya crossing nya main kotak penalti orang kepung main lawan tolol
1,makan tolol
1,disabarin mas makhluk tolol kayak
1,reply nya manusia tolol
1,uel ucl tolol kuadrat
1,info sih bego tolol nya sembuh parah
1,goblok bin tolol orang orang adil negeri jakpus bikin putus tunda pilih umum wenang tololl
0,alay seru tolol
1,tolol anjing kasihan cewek bego
1,iya cil suka nama orang tolol iya
1,oi tolol dampak anies pimpin nya pimpin
1,ih tolol
1,iya wajar nama klub tolol
1,ngepost akun canda bang maki orang tolol tolol sih selamat jamet
1,ih geli banget cewenyaa kayak sih tolol wkwk ya model aduh anti woman support woman deh cewek suka emis
0,tolol
1,bapuk tolol
1,selenggara kembali duit tolol
1,tolol nalar
1,bang tolol bangsat main
1,tolol jam sibuk blok
1,coba tolol ngobain anjing
1,panpelnya tolol cerita izin polisi dada kayak pindah gelora bung karno tau konser aduh pusing liga dagel
1,wkwk tolol gue dana masuk lebih dahulu booking timbang sepak bola ngotak dana masuk renovasi stadion oke coba komen pintar balik lonya sampah
1,tolol nama rl gue anjing
0,orang orang pintar anggap jabat amanat anggap jabat musibah orang tolol anggap jabat hadiah
